tag,industry,count,score,note
production services,Manufacturing,0.000342,0,
waste water,Manufacturing,0.000342,-1,
engineer fire,Manufacturing,0.000342,-1,
production test,Manufacturing,0.000342,0,
field applications,Manufacturing,0.000342,0,
hse manager,Manufacturing,0.000342,-1,
trust safety,Manufacturing,0.000342,-1,
manufacturing design,Manufacturing,0.000342,0,
electronics engineering,Manufacturing,0.000342,-1,
product manager,Marketing / Public Relations,0.011954,-1,
sales manager,Marketing / Public Relations,0.005874,-1,
account manager,Marketing / Public Relations,0.003757,-1,
group consumer,Marketing / Public Relations,0.002322,-1,
personnel customers,Marketing / Public Relations,0.002300,-1,
customers providedclient,Marketing / Public Relations,0.002300,-1,
providedclient relationship,Marketing / Public Relations,0.002100,-1,
client relationship,Marketing / Public Relations,0.001981,-1,
sales engineer,Marketing / Public Relations,0.001776,-1,
customer success,Marketing / Public Relations,0.001776,-1,
sales marketing,Marketing / Public Relations,0.001639,-1,
marketing manager,Marketing / Public Relations,0.001503,-1,
relationship marketing,Marketing / Public Relations,0.001434,-1,
manager business,Marketing / Public Relations,0.001366,-1,
personnel client,Marketing / Public Relations,0.001161,-1,
sales personnel,Marketing / Public Relations,0.001093,-1,
presales consultant,Marketing / Public Relations,0.001025,-1,
service manager,Marketing / Public Relations,0.000956,-1,
product marketing,Marketing / Public Relations,0.000888,-1,
services manager,Marketing / Public Relations,0.000888,-1,
contract manager,Marketing / Public Relations,0.000800,-1,
sales interior,Marketing / Public Relations,0.000751,-1,
product designer,Marketing / Public Relations,0.000751,-1,
technical sales,Marketing / Public Relations,0.000683,-1,
engagement manager,Marketing / Public Relations,0.000683,-1,
product management,Marketing / Public Relations,0.000683,-1,
contracts manager,Marketing / Public Relations,0.000615,-1,
technical account,Marketing / Public Relations,0.000615,-1,
presales engineer,Marketing / Public Relations,0.000615,-1,
customer service,Marketing / Public Relations,0.000615,-1,
key account,Marketing / Public Relations,0.000546,-1,
commercial manager,Marketing / Public Relations,0.000546,-1,
channel sales,Marketing / Public Relations,0.000546,-1,
relationship manager,Marketing / Public Relations,0.000478,-1,
field sales,Marketing / Public Relations,0.000478,-1,
accounts manager,Marketing / Public Relations,0.000410,-1,
manager national,Marketing / Public Relations,0.000410,-1,
administration manager,Marketing / Public Relations,0.000410,-1,
retail consultant,Marketing / Public Relations,0.000410,-1,
sales account,Marketing / Public Relations,0.000410,-1,
sales business,Marketing / Public Relations,0.000410,-1,
sales operations,Marketing / Public Relations,0.000410,-1,
manager sales,Marketing / Public Relations,0.000410,-1,
client acquisition,Marketing / Public Relations,0.000410,-1,
enterprise account,Marketing / Public Relations,0.000342,-1,
manager customer,Marketing / Public Relations,0.000342,-1,
communications manager,Marketing / Public Relations,0.000342,-1,
client success,Marketing / Public Relations,0.000342,0,
service sales,Marketing / Public Relations,0.000342,-1,
technical customer,Marketing / Public Relations,0.000342,-1,
client solutions,Marketing / Public Relations,0.000342,0,
recruitment consultant,Others,0.004235,-1,
manager manager,Others,0.003484,0,
service delivery,Others,0.002801,0,
engineer engineer,Others,0.002801,0,
medical de,Others,0.000900,-1,
interior designer,Others,0.000820,-1,
progression benefits,Others,0.000820,0,
gaming progression,Others,0.000820,-1,
consultant consultant,Others,0.000820,0,
manager life,Others,0.000751,-1,
security officer,Others,0.000683,-1,
medical device,Others,0.000683,-1,
threat hunter,Others,0.000683,-1,
legal counsel,Others,0.000615,-1,
manager product,Others,0.000615,-1,
developer group,Others,0.000615,0,
trainee recruitment,Others,0.000546,0,
growth markets,Others,0.000546,0,
technical technical,Others,0.000546,0,
soc threat,Others,0.000546,-1,
access management,Others,0.000478,-1,
incident responder,Others,0.000478,-1,
manager days,Others,0.000478,0,
matter expert,Others,0.000478,0,
systems ir,Others,0.000478,0,
manager ict,Others,0.000478,-1,
recruitment manager,Others,0.000410,-1,
admin mcsa,Others,0.000410,-1,
background advantage,Others,0.000410,-1,
manager food,Others,0.000410,-1,
qualified person,Others,0.000410,0,
management officer,Others,0.000410,-1,
manager corporate,Others,0.000410,-1,
functional business,Others,0.000410,-1,
public sector,Others,0.000410,0,
red team,Others,0.000410,0,
consultant recruitment,Others,0.000342,-1,
spring boot,Others,0.000342,0,
manager professional,Others,0.000342,0,
manager gaming,Others,0.000342,-1,
talend big,Others,0.000342,-1,
manager based,Others,0.000342,-1,
manager group,Others,0.000342,-1,
office operations,Others,0.000342,-1,
operating officer,Others,0.000342,0,
manager general,Others,0.000342,-1,
center network,Others,0.000342,0,
manager medical,Others,0.000342,-1,
hr manager,Others,0.000342,-1,
sd mm,Others,0.000342,-1,
corporate planning,Others,0.000342,0,
project application,Others,0.000342,0,
managed services,Others,0.000342,0,
ict policy,Others,0.000342,-1,
property manager,Others,0.000342,-1,
pharma biotech,Others,0.000342,-1,
strategic sourcing,Others,0.000342,-1,
research engineer,Sciences / Laboratory / R&D,0.010041,0,
research computer,Sciences / Laboratory / R&D,0.002186,-1,
research scientist,Sciences / Laboratory / R&D,0.001844,0,
engineer artc,Sciences / Laboratory / R&D,0.001844,-1,
engineer ime,Sciences / Laboratory / R&D,0.001571,-1,
science engineering,Sciences / Laboratory / R&D,0.001298,0,
scientist ime,Sciences / Laboratory / R&D,0.001298,-1,
intelligence ihpc,Sciences / Laboratory / R&D,0.001230,-1,
engineer research,Sciences / Laboratory / R&D,0.001161,0,
scientist machine,Sciences / Laboratory / R&D,0.001161,-1,
rd electrical,Sciences / Laboratory / R&D,0.001093,-1,
rd engineer,Sciences / Laboratory / R&D,0.000888,0,
scientist artc,Sciences / Laboratory / R&D,0.000888,-1,
life sciences,Sciences / Laboratory / R&D,0.000888,-1,
research officer,Sciences / Laboratory / R&D,0.000820,-1,
science engineer,Sciences / Laboratory / R&D,0.000751,0,
research electrical,Sciences / Laboratory / R&D,0.000751,-1,
rd mechanical,Sciences / Laboratory / R&D,0.000751,-1,
research engineering,Sciences / Laboratory / R&D,0.000683,0,
postdoctoral research,Sciences / Laboratory / R&D,0.000683,-1,
rd manager,Sciences / Laboratory / R&D,0.000615,-1,
scientist embedded,Sciences / Laboratory / R&D,0.000600,-1,
research manager,Sciences / Laboratory / R&D,0.000546,-1,
research power,Sciences / Laboratory / R&D,0.000546,-1,
research research,Sciences / Laboratory / R&D,0.000546,-1,
science ihpc,Sciences / Laboratory / R&D,0.000478,-1,
systems science,Sciences / Laboratory / R&D,0.000478,-1,
life science,Sciences / Laboratory / R&D,0.000478,-1,
laboratory manager,Sciences / Laboratory / R&D,0.000478,-1,
materials imre,Sciences / Laboratory / R&D,0.000478,-1,
research materials,Sciences / Laboratory / R&D,0.000410,-1,
computing ihpc,Sciences / Laboratory / R&D,0.000410,-1,
science computer,Sciences / Laboratory / R&D,0.000410,0,
scientist systems,Sciences / Laboratory / R&D,0.000342,-1,
scientist natural,Sciences / Laboratory / R&D,0.000342,-1,
research chemistry,Sciences / Laboratory / R&D,0.000342,-1,
research mechanical,Sciences / Laboratory / R&D,0.000342,-1,
research quantum,Sciences / Laboratory / R&D,0.000342,-1,
scientist image,Sciences / Laboratory / R&D,0.000342,-1,
scientist aural,Sciences / Laboratory / R&D,0.000342,-1,
science chemistry,Sciences / Laboratory / R&D,0.000342,-1,
scientist advanced,Sciences / Laboratory / R&D,0.000342,0,
photonics ihpc,Sciences / Laboratory / R&D,0.000342,-1,
agtech venture,Sustainability,0.000956,0,
energy storage,Sustainability,0.000478,0,
advanced sustainable,Sustainability,0.000342,-1,
sustainable materials,Sustainability,0.000342,-1,
